,ALGT
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9498956158663883
Growth 1yr High Est,-0.9314324507807197
Growth 1yr Consensus Est,-0.940664033323554
Growth 2yr Low Est,0.761163303177917
Growth 2yr High Est,2.9154718934215214
Growth 2yr Consensus Est,1.838317598299719
Growth 5yr Low Est,0.3805816515889585
Growth 5yr High Est,1.4577359467107607
Growth 5yr Consensus Est,0.9191587991498594
Growth 5yr Actual/Est,0.45647461664379163
Growth 3yr Historic,-0.7182318043861587
