,ARKO
Price/Earnings (TTM),18.04205
Price/Sales (TTM),0.12342
Price/Book (MRQ),4.09312
Price/Cash Flow (TTM),6.61798
5yr Low,7.32
5yr High,11.4
5yr Avg Return,-0.01165
Short Int Current Month,3588078.0
Short Int Prev Month,3592860.0
Short Int Pct of Float,0.0578489
Days to Cover,3.70737
Float,72.26691
Shares Outstanding,120.0745
Institutions Holding Shares,143.0
% Held by Institutions,0.571217
FCF Growth 5yr,0.7340333583468537
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
