,ARKO
% Below High,0.1489
% Held by Institutions,0.5711999999999999
52-Wk Range,['7.45 - 10.81']
Annual Dividend $,0.12
Annual Dividend %,0.013000000000000001
Ask,9.95
Ask Size,5000.0
B/A Ratio,0.04
B/A Size,200x5000
Beta,0.3
Bid,3.71
Bid Size,200.0
Closing Price,9.2
Day Change $,0.08
Day Change %,0.0088
Day High,9.35
Day Low,9.13
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",0.51
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.43100000000000005
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",18.04
Prev Close,9.12
Shares Outstanding,120.1M
Short Interest,0.057800000000000004
Today's Open,9.13
Volume,71184.0
Volume 10-day Avg,360308.0
Volume Past Day,(Light)
