,BJRI
Price/Earnings (TTM),
Price/Sales (TTM),0.6092
Price/Book (MRQ),2.2094
Price/Cash Flow (TTM),11.28645
5yr Low,6.01
5yr High,76.5
5yr Avg Return,0.007466666666666657
EPS Growth 5yr,
Revenue Growth 5yr,0.0182503
Dividend Growth 5yr,
Short Int Current Month,1528011.0
Short Int Prev Month,1560990.0
Short Int Pct of Float,0.06776209999999999
Days to Cover,5.71392
Float,22.54831
Shares Outstanding,23.39209
Institutions Holding Shares,203.0
% Held by Institutions,0.984301
FCF Growth 5yr,5.162842893452763
