,BJRI
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9277566539923954
Growth 1yr High Est,-1.096774193548387
Growth 1yr Consensus Est,-1.0122654237703912
Growth 2yr Low Est,-2.1217730638383028
Growth 2yr High Est,2.1460573476702507
Growth 2yr Consensus Est,0.012142141915973959
Growth 5yr Low Est,-1.660620574472343
Growth 5yr High Est,0.5905286738351253
Growth 5yr Consensus Est,-0.5350459503186088
Growth 5yr Actual/Est,2.611492757001278
Growth 3yr Historic,-0.786423909665389
