,BJRI
% Below High,0.13849999999999998
% Held by Institutions,0.9843000000000001
52-Wk Range,['20.15 - 37.22']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.8
Bid,29.93
Bid Size,1000.0
Closing Price,32.06
Day Change $,0.15
Day Change %,0.004699999999999999
Day High,32.55
Day Low,31.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.2
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,750.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,31.91
Shares Outstanding,23.4M
Short Interest,0.0678
Today's Open,31.97
Volume,106688.0
Volume 10-day Avg,206007.0
Volume Past Day,(Light)
