,GWW
% Below High,0.0128
% Held by Institutions,0.706
52-Wk Range,['440.48 - 612.06']
Annual Dividend $,6.88
Annual Dividend %,0.011399999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,287.43
Bid Size,
Closing Price,604.25
Day Change $,-0.07
Day Change %,-0.0001
Day High,608.4
Day Low,601.26
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",28.17
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.28800000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,30.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.45
Prev Close,604.32
Shares Outstanding,50.5M
Short Interest,0.0277
Today's Open,606.82
Volume,71435.0
Volume 10-day Avg,269913.0
Volume Past Day,(Light)
