,UNM
% Below High,0.11449999999999999
% Held by Institutions,0.8762000000000001
52-Wk Range,['22.25 - 46.64']
Annual Dividend $,1.32
Annual Dividend %,0.0318
Ask,46.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,35.0
Bid Size,100.0
Closing Price,41.3
Day Change $,-0.2
Day Change %,-0.0048
Day High,41.61
Day Low,40.99
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",5.9
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.374
Last (size),43.0
Last (time),7:00p ET 11/28/22
Market Cap,8.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.04
Prev Close,41.5
Shares Outstanding,198.9M
Short Interest,0.0216
Today's Open,41.16
Volume,1073769.0
Volume 10-day Avg,1568690.0
Volume Past Day,(Light)
