,UNM
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.49878934624697346
Growth 1yr High Est,0.4279279279279278
Growth 1yr Consensus Est,0.4633586370874506
Growth 2yr Low Est,0.24616365535288898
Growth 2yr High Est,0.22658226049393237
Growth 2yr Consensus Est,0.23637295792341068
Growth 5yr Low Est,0.06160309568884109
Growth 5yr High Est,0.06549370851584285
Growth 5yr Consensus Est,0.06354840210234197
Growth 5yr Actual/Est,0.058518294326103254
Growth 3yr Historic,-0.05284926470588239
