,LKQ
Price/Earnings (TTM),13.09599
Price/Sales (TTM),1.1293
Price/Book (MRQ),2.81598
Price/Cash Flow (TTM),10.17573
5yr Low,13.31
5yr High,60.43
5yr Avg Return,0.12243333333333331
EPS Growth 5yr,0.1998763
Revenue Growth 5yr,0.08802720000000001
Dividend Growth 5yr,
Short Int Current Month,4208776.0
Short Int Prev Month,4938286.0
Short Int Pct of Float,0.0158604
Days to Cover,2.17373
Float,265.8785
Shares Outstanding,267.175
Institutions Holding Shares,910.0
% Held by Institutions,0.963853
FCF Growth 5yr,0.1666129551007224
