,LKQ
% Below High,0.0922
% Held by Institutions,0.9639
52-Wk Range,['42.36 - 60.43']
Annual Dividend $,1.1
Annual Dividend %,0.020099999999999996
Ask,54.94
Ask Size,100.0
Ask close,58.54
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,54.16
Bid Size,100.0
Bid close,51.43
Change Since Close,-1.64| |(-2.99%)
Closing Price,54.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.19
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35000000000000003
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,53.22
Market Cap,14.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.1
Prev Close,54.86
Shares Outstanding,267.2M
Short Interest,0.0159
Today's Open,
Volume,1.0
Volume 10-day Avg,1081643.0
Volume Past Day,(Light)
