,AVY
Price/Earnings (TTM),19.44374
Price/Sales (TTM),1.69358
Price/Book (MRQ),7.77384
Price/Cash Flow (TTM),14.06847
5yr Low,76.96
5yr High,229.24
5yr Avg Return,0.12341666666666669
EPS Growth 5yr,0.2009114
Revenue Growth 5yr,0.0667634
Dividend Growth 5yr,0.107012
Short Int Current Month,1304200.0
Short Int Prev Month,1173992.0
Short Int Pct of Float,0.0162166
Days to Cover,2.19996
Float,80.45088
Shares Outstanding,80.96901
Institutions Holding Shares,918.0
% Held by Institutions,0.907733
FCF Growth 5yr,0.8340155415627182
