,RMNI
Price/Earnings (TTM),6.32548
Price/Sales (TTM),0.92397
Price/Book (MRQ),
Price/Cash Flow (TTM),4.90876
5yr Low,2.22
5yr High,11.52
5yr Avg Return,-0.05919999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1851005
Dividend Growth 5yr,
Short Int Current Month,1739008.0
Short Int Prev Month,2016641.0
Short Int Pct of Float,0.0343101
Days to Cover,3.13278
Float,52.09345
Shares Outstanding,88.278
Institutions Holding Shares,163.0
% Held by Institutions,0.72724
FCF Growth 5yr,-0.14313430895288223
