,RMNI
% Above Low,0.0376
% Held by Institutions,0.7272
52-Wk Range,['3.99 - 7.25']
Annual Dividend $,
Annual Dividend %,
Ask,4.14
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,0.8
Bid,4.13
Bid Size,700.0
Day Change $,-0.05
Day Change %,-0.011899999999999999
Day High,4.16
Day Low,4.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.66
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),100.0
Last (time),12:59p ET 11/28/22
Market Cap,365.5M
"P/E Ratio (TTM, GAAP)",6.33
Prev Close,4.19
Price,4.14
Shares Outstanding,88.3M
Short Interest,0.034300000000000004
Today's Open,4.16
Volume Past Day,(Light)
