,BA
% Below High,0.2234
% Held by Institutions,0.5590999999999999
52-Wk Range,['113.02 - 229.67']
Annual Dividend $,
Annual Dividend %,
Ask,178.51
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,178.15
Bid Size,500.0
Closing Price,178.36
Day Change $,3.51
Day Change %,0.020099999999999996
Day High,178.46
Day Low,174.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-14.27
Ex-dividend Date,No dividend
Historical Volatility,0.478
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,106.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,174.85
Shares Outstanding,596.0M
Short Interest,0.0175
Today's Open,174.35
Volume,3476919.0
Volume 10-day Avg,5723818.0
Volume Past Day,(Light)
