,BA
Price/Earnings (TTM),
Price/Sales (TTM),1.73067
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,89.0
5yr High,446.01
5yr Avg Return,-0.04838333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0780243
Dividend Growth 5yr,
Short Int Current Month,10433989.0
Short Int Prev Month,9953830.0
Short Int Pct of Float,0.0175294
Days to Cover,0.9888
Float,595.3579
Shares Outstanding,595.9832
Institutions Holding Shares,2163.0
% Held by Institutions,0.55912
FCF Growth 5yr,-0.3045124565841566
