,JAMF
Price/Earnings (TTM),
Price/Sales (TTM),5.54524
Price/Book (MRQ),3.79968
Price/Cash Flow (TTM),
5yr Low,19.2
5yr High,51.0
5yr Avg Return,-0.17950000000000002
Short Int Current Month,3699622.0
Short Int Prev Month,3721547.0
Short Int Pct of Float,0.0827335
Days to Cover,9.96142
Float,120.6108
Shares Outstanding,121.3873
Institutions Holding Shares,195.0
% Held by Institutions,0.96931
FCF Growth 5yr,-0.5066369541147653
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
