,JAMF
% Above Low,0.0763
% Held by Institutions,0.9693
52-Wk Range,['19.20 - 40.52']
Annual Dividend $,
Annual Dividend %,
Ask,26.55
Ask Size,3900.0
B/A Ratio,0.1282051282051282
B/A Size,500x3900
Beta,
Bid,20.0
Bid Size,500.0
Closing Price,20.66
Day Change $,0.04
Day Change %,0.0019
Day High,20.87
Day Low,20.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.2
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),485.0
Last (time),1:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,20.62
Shares Outstanding,121.4M
Short Interest,0.0827
Today's Open,20.33
Volume,114121.0
Volume 10-day Avg,504209.0
Volume Past Day,(Light)
