,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,3.23,,,3.19,,3.23,,3.21,3.23,,
Year ending 12/2020,Neutral,3.41,,0.05572755417956654,3.35,0.050156739811912265,3.44,0.06501547987616108,3.395,3.41,0.05572755417956654,0.05758610984403667
Year ending 12/2021,Neutral,4.46,,0.3079178885630498,4.35,0.2985074626865669,4.44,0.2906976744186047,4.395,4.46,0.3079178885630498,0.2946025685525858
Year ending 12/2022,Neutral,,4.73,0.0,4.63,0.06436781609195408,5.0,0.12612612612612595,4.73,4.73,0.060538116591928315,0.09524697110904001
Year ending 12/2023,Neutral,,4.1,0.0,3.33,-0.28077753779697623,5.3,0.06000000000000005,4.1,4.1,-0.13319238900634267,-0.11038876889848809
