,SYNH
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.06436781609195408
Growth 1yr High Est,0.12612612612612595
Growth 1yr Consensus Est,0.09524697110904001
Growth 2yr Low Est,-0.10820486085251108
Growth 2yr High Est,0.093063063063063
Growth 2yr Consensus Est,-0.007570898894724037
Growth 5yr Low Est,0.03306362019836426
Growth 5yr High Est,0.13545982010522295
Growth 5yr Consensus Est,0.0842617201517936
Growth 5yr Actual/Est,0.0727477925820505
Growth 3yr Historic,0.09091136068565409
