,SYNH
Price/Earnings (TTM),12.28193
Price/Sales (TTM),0.64598
Price/Book (MRQ),1.0412
Price/Cash Flow (TTM),6.521
5yr Low,22.89
5yr High,104.18
5yr Avg Return,0.10135
EPS Growth 5yr,0.0199032
Revenue Growth 5yr,0.26479379999999997
Dividend Growth 5yr,
Short Int Current Month,2112577.0
Short Int Prev Month,1852168.0
Short Int Pct of Float,0.020617299999999998
Days to Cover,0.7449
Float,61.24802
Shares Outstanding,102.904
Institutions Holding Shares,480.0
% Held by Institutions,0.9805410000000001
FCF Growth 5yr,0.5370132167109704
