,SYNH
% Above Low,0.4698
% Held by Institutions,0.9804999999999999
52-Wk Range,['22.89 - 104.17']
Annual Dividend $,
Annual Dividend %,
Ask,33.67
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,1.7
Bid,33.65
Bid Size,200.0
Day Change $,-0.29
Day Change %,-0.0085
Day High,34.5
Day Low,33.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.76
Ex-dividend Date,No dividend
Historical Volatility,0.7859999999999999
Last (size),109.0
Last (time),3:54p ET 11/28/22
Market Cap,3.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.28
Prev Close,33.94
Price,33.65
Shares Outstanding,102.9M
Short Interest,0.0206
Today's Open,33.74
Volume Past Day,(Light)
