,EW
% Above Low,0.1375
% Held by Institutions,0.8256999999999999
52-Wk Range,['67.13 - 131.73']
Annual Dividend $,
Annual Dividend %,
Ask,76.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,73.5
Bid Size,100.0
Closing Price,76.36
Day Change $,0.45
Day Change %,0.0059
Day High,76.47
Day Low,75.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,47.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.87
Prev Close,75.91
Shares Outstanding,618.3M
Short Interest,0.0172
Today's Open,75.95
Volume,1566760.0
Volume 10-day Avg,4408986.0
Volume Past Day,(Light)
