,EW
Price/Earnings (TTM),32.87398
Price/Sales (TTM),8.80167
Price/Book (MRQ),7.60677
Price/Cash Flow (TTM),29.58043
5yr Low,36.47
5yr High,131.73
5yr Avg Return,0.18811666666666663
EPS Growth 5yr,0.22264910000000002
Revenue Growth 5yr,0.1204049
Dividend Growth 5yr,
Short Int Current Month,10565988.0
Short Int Prev Month,8109240.0
Short Int Pct of Float,0.0172426
Days to Cover,1.30493
Float,612.903
Shares Outstanding,618.2605
Institutions Holding Shares,1717.0
% Held by Institutions,0.8256699999999999
FCF Growth 5yr,0.32111193329620796
