,KMX
Price/Earnings (TTM),13.47465
Price/Sales (TTM),0.3133
Price/Book (MRQ),1.94876
Price/Cash Flow (TTM),9.68488
5yr Low,37.59
5yr High,155.98
5yr Avg Return,0.05123333333333336
EPS Growth 5yr,0.1640082
Revenue Growth 5yr,0.149783
Dividend Growth 5yr,
Short Int Current Month,15865918.0
Short Int Prev Month,13421339.0
Short Int Pct of Float,0.1007605
Days to Cover,6.44165
Float,156.3582
Shares Outstanding,158.0155
Institutions Holding Shares,865.0
% Held by Institutions,1.021475
FCF Growth 5yr,-0.42743242452155467
