,KMX
Next Earnings Announcement,2022-12-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.5347826086956522
Growth 1yr High Est,-0.21122994652406413
Growth 1yr Consensus Est,-0.37300627760985816
Growth 2yr Low Est,-0.28452526073411893
Growth 2yr High Est,-0.02086921055016766
Growth 2yr Consensus Est,-0.1526972356421433
Growth 5yr Low Est,-0.024181800912975615
Growth 5yr High Est,0.10874179484471255
Growth 5yr Consensus Est,0.04227999696586847
Growth 5yr Actual/Est,0.02098837720347732
Growth 3yr Historic,0.09751635424795363
