,KMX
% Above Low,0.21710000000000002
% Held by Institutions,1.0215
52-Wk Range,['54.85 - 152.28']
Annual Dividend $,
Annual Dividend %,
Ask,79.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,64.65
Bid Size,100.0
Closing Price,66.76
Day Change $,0.17
Day Change %,0.0026
Day High,67.88
Day Low,66.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.95
Ex-dividend Date,No dividend
Historical Volatility,0.532
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.47
Prev Close,66.59
Shares Outstanding,158.0M
Short Interest,0.1008
Today's Open,66.14
Volume,567973.0
Volume 10-day Avg,1842157.0
Volume Past Day,(Light)
