,XOM
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,1.5687103594080338
Growth 1yr High Est,1.722426470588235
Growth 1yr Consensus Est,1.6455684149981344
Growth 2yr Low Est,0.623861352543523
Growth 2yr High Est,0.8379181643960756
Growth 2yr Consensus Est,0.7308897584697993
Growth 5yr Low Est,-2.683507636316014
Growth 5yr High Est,-9.318580872858757
Growth 5yr Consensus Est,-6.001044254587384
Growth 5yr Actual/Est,-4.263721036667327
Growth 3yr Historic,-4.612587932900432
