,PNR
% Above Low,0.17250000000000001
% Held by Institutions,0.9443
52-Wk Range,['38.55 - 77.66']
Annual Dividend $,0.84
Annual Dividend %,0.0182
Ask,45.2
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,45.13
Bid Size,200.0
Day Change $,-0.99
Day Change %,-0.021400000000000002
Day High,45.97
Day Low,45.14
Dividend Pay Date,2022-11-04 00:00:00
"EPS (TTM, GAAP)",3.23
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.336
Last (size),100.0
Last (time),11:11a ET 11/28/22
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.32
Prev Close,46.19
Price,45.2
Shares Outstanding,164.5M
Short Interest,0.041299999999999996
Today's Open,45.71
Volume Past Day,(Light)
