,PNR
Price/Earnings (TTM),14.32213
Price/Sales (TTM),1.84983
Price/Book (MRQ),2.879
Price/Cash Flow (TTM),12.12604
5yr Low,22.01
5yr High,80.4
5yr Avg Return,-0.010366666666666665
EPS Growth 5yr,0.2781091
Revenue Growth 5yr,0.0624798
Dividend Growth 5yr,-0.0980197
Short Int Current Month,6767893.0
Short Int Prev Month,7147373.0
Short Int Pct of Float,0.041286199999999995
Days to Cover,4.06817
Float,163.9615
Shares Outstanding,164.4984
Institutions Holding Shares,762.0
% Held by Institutions,0.944342
FCF Growth 5yr,-0.876835666287143
