,PNR
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.08083832335329344
Growth 1yr High Est,0.07624633431085037
Growth 1yr Consensus Est,0.0785423288320719
Growth 2yr Low Est,0.011333289100469435
Growth 2yr High Est,0.06537112355869501
Growth 2yr Consensus Est,0.03835220632958222
Growth 5yr Low Est,0.11187178755164126
Growth 5yr High Est,0.13851607025392382
Growth 5yr Consensus Est,0.12519392890278253
Growth 5yr Actual/Est,0.11824766893058591
Growth 3yr Historic,0.1026050420168067
