,CMRE
Price/Earnings (TTM),2.51132
Price/Sales (TTM),1.11033
Price/Book (MRQ),0.63704
Price/Cash Flow (TTM),1.91721
5yr Low,3.16
5yr High,18.01
5yr Avg Return,0.18935000000000005
EPS Growth 5yr,0.33130780000000004
Revenue Growth 5yr,0.11132310000000001
Dividend Growth 5yr,-0.1501557
Short Int Current Month,2739394.0
Short Int Prev Month,2261212.0
Short Int Pct of Float,0.0523222
Days to Cover,3.39789
Float,51.93575
Shares Outstanding,125.9799
Institutions Holding Shares,185.0
% Held by Institutions,0.215942
FCF Growth 5yr,0.2840154963990334
