,CMRE
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.5
Growth 1yr High Est,0.5106382978723403
Growth 1yr Consensus Est,0.5053191489361701
Growth 2yr Low Est,0.24561403508771934
Growth 2yr High Est,0.30038957147138146
Growth 2yr Consensus Est,0.27300180327955037
Growth 5yr Low Est,0.4926933811802233
Growth 5yr High Est,0.5131967716138901
Growth 5yr Consensus Est,0.5029450763970568
Growth 5yr Actual/Est,0.4833688692468728
Growth 3yr Historic,0.3586511527687998
