,CMRE
% Above Low,0.1668
% Held by Institutions,0.2159
52-Wk Range,['8.55 - 18.01']
Annual Dividend $,0.46
Annual Dividend %,0.0461
Ask,11.25
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.4
Bid,9.45
Bid Size,1000.0
Closing Price,9.98
Day Change $,0.18
Day Change %,0.0184
Day High,10.08
Day Low,9.79
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2022-10-19 00:00:00
Ex-dividend Date,10/19/22
Historical Volatility,0.44700000000000006
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.51
Prev Close,9.8
Shares Outstanding,121.7M
Short Interest,0.052300000000000006
Today's Open,9.79
Volume,297619.0
Volume 10-day Avg,617184.0
Volume Past Day,(Light)
