,INTC
% Above Low,0.1932
% Held by Institutions,0.595
52-Wk Range,['24.59 - 56.28']
Annual Dividend $,1.46
Annual Dividend %,0.049800000000000004
Ask,29.45
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,29.32
Bid Size,400.0
Closing Price,29.34
Day Change $,-0.33
Day Change %,-0.0111
Day High,29.68
Day Low,29.34
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.38200000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,121.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.05
Prev Close,29.67
Shares Outstanding,4.1B
Short Interest,0.0167
Today's Open,29.68
Volume,11314878.0
Volume 10-day Avg,34902389.0
Volume Past Day,(Light)
