,INTC
Price/Earnings (TTM),9.0522
Price/Sales (TTM),1.74125
Price/Book (MRQ),1.21226
Price/Cash Flow (TTM),4.63523
5yr Low,24.59
5yr High,69.29
5yr Avg Return,-0.03821666666666667
EPS Growth 5yr,0.1808069
Revenue Growth 5yr,0.058799000000000004
Dividend Growth 5yr,0.0597326
Short Int Current Month,68755874.0
Short Int Prev Month,71743412.0
Short Int Pct of Float,0.016674
Days to Cover,1.60808
Float,4123.685
Shares Outstanding,4127.0
Institutions Holding Shares,3186.0
% Held by Institutions,0.595036
FCF Growth 5yr,-1.8691913489643148
