,OLO
% Above Low,0.0364
% Held by Institutions,0.9534999999999999
52-Wk Range,['6.86 - 27.37']
Annual Dividend $,
Annual Dividend %,
Ask,7.25
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,
Bid,7.0
Bid Size,200.0
Change Since Close,0.14| |(1.97%)
Closing Price,7.11
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.25
Ex-dividend Date,No dividend
Historical Volatility,0.8220000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,7.25
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.11
Shares Outstanding,163.4M
Short Interest,0.1074
Today's Open,
Volume,11.0
Volume 10-day Avg,2035203.0
Volume Past Day,(Light)
