,OGN
Price/Earnings (TTM),6.33379
Price/Sales (TTM),1.01511
Price/Book (MRQ),
Price/Cash Flow (TTM),5.18012
5yr Low,22.88
5yr High,39.48
5yr Avg Return,-0.09815
Short Int Current Month,5506850.0
Short Int Prev Month,5682727.0
Short Int Pct of Float,0.0216622
Days to Cover,2.21409
Float,254.2229
Shares Outstanding,254.3644
Institutions Holding Shares,1048.0
% Held by Institutions,0.767758
FCF Growth 5yr,0.34014210268340034
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
