,OGN
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.22932917316692658
Growth 1yr High Est,-0.18461538461538463
Growth 1yr Consensus Est,-0.2069722788911556
Growth 2yr Low Est,-0.15312612504500184
Growth 2yr High Est,-0.07815674891146585
Growth 2yr Consensus Est,-0.11564143697823384
Growth 5yr Low Est,-0.15312612504500184
Growth 5yr High Est,-0.07815674891146585
Growth 5yr Consensus Est,-0.11564143697823384
Growth 5yr Actual/Est,-0.13574600381814156
Growth 3yr Historic,0.0
