,DEN
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.9098712446351933
Growth 1yr High Est,2.0036363636363634
Growth 1yr Consensus Est,1.9567538041357784
Growth 2yr Low Est,0.893726182789573
Growth 2yr High Est,1.128331499009465
Growth 2yr Consensus Est,1.011028840899519
Growth 5yr Low Est,0.893726182789573
Growth 5yr High Est,1.128331499009465
Growth 5yr Consensus Est,1.011028840899519
Growth 5yr Actual/Est,1.2804492382617383
Growth 3yr Historic,0.7772727272727272
