,DEN
% Below High,0.1353
% Held by Institutions,1.0017
52-Wk Range,['56.59 - 104.05']
Annual Dividend $,
Annual Dividend %,
Ask,95.12
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,88.88
Bid Size,100.0
Closing Price,89.97
Day Change $,1.13
Day Change %,0.0127
Day High,92.43
Day Low,89.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.25
Ex-dividend Date,No dividend
Historical Volatility,0.8959999999999999
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",14.4
Prev Close,88.84
Shares Outstanding,49.8M
Short Interest,0.1001
Today's Open,89.16
Volume,384919.0
Volume 10-day Avg,559816.0
Volume Past Day,(Light)
