,DEN
Price/Earnings (TTM),14.40188
Price/Sales (TTM),2.80094
Price/Book (MRQ),3.57503
Price/Cash Flow (TTM),8.89848
5yr Low,15.43
5yr High,104.05
5yr Avg Return,0.7925333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.052187599999999994
Dividend Growth 5yr,
Short Int Current Month,4818970.0
Short Int Prev Month,4790480.0
Short Int Pct of Float,0.100057
Days to Cover,8.14234
Float,48.16223
Shares Outstanding,49.80011
Institutions Holding Shares,251.0
% Held by Institutions,1.001714
FCF Growth 5yr,14.842778192354265
