,TBI
% Above Low,0.33990000000000004
% Held by Institutions,0.9889
52-Wk Range,['15.77 - 30.32']
Annual Dividend $,
Annual Dividend %,
Ask,21.17
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,1.4
Bid,21.13
Bid Size,200.0
Closing Price,21.13
Day Change $,-0.34
Day Change %,-0.0158
Day High,21.51
Day Low,20.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.22
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),100.0
Last (time),3:59p ET 11/28/22
Market Cap,691.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.67
Prev Close,21.47
Shares Outstanding,32.7M
Short Interest,0.0146
Today's Open,21.32
Volume,93819.0
Volume 10-day Avg,89016.0
Volume Past Day,(Average)
