,TBI
Price/Earnings (TTM),9.66878
Price/Sales (TTM),0.30299
Price/Book (MRQ),1.44186
Price/Cash Flow (TTM),6.71744
5yr Low,12.02
5yr High,32.91
5yr Avg Return,-0.022933333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.045996300000000004
Dividend Growth 5yr,
Short Int Current Month,461754.0
Short Int Prev Month,617127.0
Short Int Pct of Float,0.0145825
Days to Cover,3.33753
Float,31.66339
Shares Outstanding,32.71864
Institutions Holding Shares,249.0
% Held by Institutions,0.988871
FCF Growth 5yr,-0.35281608996730324
