,UPS
Price/Earnings (TTM),14.28883
Price/Sales (TTM),1.56184
Price/Book (MRQ),9.30241
Price/Cash Flow (TTM),11.08446
5yr Low,82.0
5yr High,233.72
5yr Avg Return,0.10068333333333333
EPS Growth 5yr,0.3064125
Revenue Growth 5yr,0.0956724
Dividend Growth 5yr,0.0551182
Short Int Current Month,11480113.0
Short Int Prev Month,10550577.0
Short Int Pct of Float,0.0157337
Days to Cover,3.9764
Float,729.727
Shares Outstanding,864.9182
Institutions Holding Shares,2644.0
% Held by Institutions,0.689852
FCF Growth 5yr,0.11662107560921064
