,UPS
% Above Low,0.1617
% Held by Institutions,0.6899
52-Wk Range,['154.87 - 233.72']
Annual Dividend $,6.08
Annual Dividend %,0.0333
Ask,181.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,181.26
Bid Size,100.0
Closing Price,179.91
Day Change $,-2.61
Day Change %,-0.0143
Day High,182.28
Day Low,178.44
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",12.77
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.307
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,155.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.29
Prev Close,182.52
Shares Outstanding,864.9M
Short Interest,0.015700000000000002
Today's Open,180.97
Volume,2047781.0
Volume 10-day Avg,2498586.0
Volume Past Day,(Below Average)
