,HLIO
% Above Low,0.1562
% Held by Institutions,0.9181
52-Wk Range,['48.27 - 107.90']
Annual Dividend $,0.36
Annual Dividend %,0.006500000000000001
Ask,68.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,44.0
Bid Size,100.0
Closing Price,55.81
Day Change $,0.0
Day Change %,0.0
Day High,56.27
Day Low,55.76
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",3.2
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.42700000000000005
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",17.44
Prev Close,55.81
Shares Outstanding,32.6M
Short Interest,0.011200000000000002
Today's Open,56.14
Volume,21092.0
Volume 10-day Avg,145621.0
Volume Past Day,(Light)
