,HLIO
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.01243781094527352
Growth 1yr High Est,-0.03597122302158284
Growth 1yr Consensus Est,-0.02420451698342818
Growth 2yr Low Est,-0.10193678960361913
Growth 2yr High Est,-0.05156770106303016
Growth 2yr Consensus Est,-0.07675224533332464
Growth 5yr Low Est,-0.10193678960361913
Growth 5yr High Est,-0.05156770106303016
Growth 5yr Consensus Est,-0.07675224533332464
Growth 5yr Actual/Est,0.15941372642299279
Growth 3yr Historic,0.20478303203997644
