,HLIO
Price/Earnings (TTM),17.43654
Price/Sales (TTM),2.00305
Price/Book (MRQ),2.41708
Price/Cash Flow (TTM),11.71669
5yr Low,29.03
5yr High,114.89
5yr Avg Return,0.10436666666666668
EPS Growth 5yr,0.3002641
Revenue Growth 5yr,0.3457311
Dividend Growth 5yr,0.0
Short Int Current Month,358340.0
Short Int Prev Month,358946.0
Short Int Pct of Float,0.011193999999999999
Days to Cover,2.01961
Float,32.01175
Shares Outstanding,32.55648
Institutions Holding Shares,217.0
% Held by Institutions,0.918058
FCF Growth 5yr,0.7924208110204839
