,ROP
% Below High,0.1343
% Held by Institutions,0.9466
52-Wk Range,['356.22 - 494.32']
Annual Dividend $,2.73
Annual Dividend %,0.0063
Ask,428.13
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,427.7
Bid Size,100.0
Day Change $,-8.46
Day Change %,-0.0194
Day High,435.48
Day Low,427.39
Dividend Pay Date,2023-01-23 00:00:00
"EPS (TTM, GAAP)",8.78
Ex-dividend,2023-01-06 00:00:00
Ex-dividend Date,01/06/23
Historical Volatility,0.262
Last (size),100.0
Last (time),1:11p ET 11/28/22
Market Cap,45.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.68
Prev Close,436.38
Price,427.92
Shares Outstanding,106.1M
Short Interest,0.011399999999999999
Today's Open,433.41
Volume Past Day,(Light)
