,ROP
Price/Earnings (TTM),49.67534
Price/Sales (TTM),8.48658
Price/Book (MRQ),3.33956
Price/Cash Flow (TTM),29.63373
5yr Low,240.0
5yr High,505.0
5yr Avg Return,0.09671666666666665
EPS Growth 5yr,0.0749529
Revenue Growth 5yr,0.0879937
Dividend Growth 5yr,0.13396660000000002
Short Int Current Month,1208416.0
Short Int Prev Month,1050911.0
Short Int Pct of Float,0.011439999999999999
Days to Cover,1.90713
Float,105.6209
Shares Outstanding,106.052
Institutions Holding Shares,1370.0
% Held by Institutions,0.94659
FCF Growth 5yr,-0.11135676886331791
