,NBHC
% Below High,0.028999999999999998
% Held by Institutions,0.7956
52-Wk Range,['36.04 - 50.00']
Annual Dividend $,1.0
Annual Dividend %,0.0206
Ask,48.6
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,48.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.51
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.28800000000000003
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",19.36
Prev Close,48.55
Shares Outstanding,37.6M
Short Interest,0.0155
Today's Open,
Volume,124715.0
Volume 10-day Avg,258029.0
Volume Past Day,(Light)
