,NBHC
Price/Earnings (TTM),19.36423
Price/Sales (TTM),6.13216
Price/Book (MRQ),1.75255
Price/Cash Flow (TTM),20.26133
5yr Low,20.25
5yr High,50.0
5yr Avg Return,0.06921666666666666
EPS Growth 5yr,0.30632380000000003
Revenue Growth 5yr,0.046061500000000005
Dividend Growth 5yr,0.3164953
Short Int Current Month,572293.0
Short Int Prev Month,483166.0
Short Int Pct of Float,0.015489200000000002
Days to Cover,2.42278
Float,37.00787
Shares Outstanding,37.59426
Institutions Holding Shares,235.0
% Held by Institutions,0.795607
FCF Growth 5yr,0.46153846153846145
