,NBHC
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.08070175438596494
Growth 1yr High Est,0.11379310344827598
Growth 1yr Consensus Est,0.01654567453115552
Growth 2yr Low Est,0.14667202357037634
Growth 2yr High Est,0.26897085512971064
Growth 2yr Consensus Est,0.2078214393500435
Growth 5yr Low Est,0.11063439888196236
Growth 5yr High Est,0.17333004907879956
Growth 5yr Consensus Est,0.14198222398038096
Growth 5yr Actual/Est,0.13868608365018353
Growth 3yr Historic,0.04216696988073587
