,STBA
% Below High,0.0438
% Held by Institutions,0.6312
52-Wk Range,['26.51 - 38.39']
Annual Dividend $,1.24
Annual Dividend %,0.0332
Ask,36.76
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,36.71
Bid Size,200.0
Day Change $,-0.68
Day Change %,-0.0182
Day High,37.47
Day Low,36.71
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.256
Last (size),341.0
Last (time),3:23p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.42
Prev Close,37.39
Price,36.71
Shares Outstanding,39.0M
Short Interest,0.0215
Today's Open,37.33
Volume Past Day,(Light)
