,STBA
Price/Earnings (TTM),12.423
Price/Sales (TTM),4.12099
Price/Book (MRQ),1.26492
Price/Cash Flow (TTM),
5yr Low,16.98
5yr High,47.77
5yr Avg Return,-0.0032000000000000028
EPS Growth 5yr,0.065759
Revenue Growth 5yr,0.048956400000000004
Dividend Growth 5yr,0.0797359
Short Int Current Month,823129.0
Short Int Prev Month,945498.0
Short Int Pct of Float,0.021522299999999998
Days to Cover,7.24298
Float,38.24649
Shares Outstanding,39.00355
Institutions Holding Shares,244.0
% Held by Institutions,0.631215
FCF Growth 5yr,0.16640755840590785
