,NTRA
% Above Low,0.43979999999999997
% Held by Institutions,0.8559
52-Wk Range,['26.10 - 99.63']
Annual Dividend $,
Annual Dividend %,
Ask,38.52
Ask Size,100.0
Ask close,39.83
B/A Ratio,4.0
B/A Size,400x100
Beta,1.3
Bid,34.0
Bid Size,400.0
Bid close,35.19
Change Since Close,0.66| |(1.76%)
Closing Price,37.58
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.69
Ex-dividend Date,No dividend
Historical Volatility,0.8740000000000001
Last (size),20.0
Last (time),1:00p ET 11/25/22
Last Trade,38.24
Market Cap,4.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.58
Shares Outstanding,109.0M
Short Interest,0.0478
Today's Open,
Volume,20.0
Volume 10-day Avg,2618660.0
Volume Past Day,(Light)
