,SRDX
% Above Low,0.2347
% Held by Institutions,0.9208
52-Wk Range,['28.28 - 50.86']
Annual Dividend $,
Annual Dividend %,
Ask,35.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,34.69
Bid Size,100.0
Day Change $,-1.11
Day Change %,-0.0308
Day High,36.1
Day Low,34.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),1.0
Last (time),3:12p ET 11/28/22
Market Cap,490.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,36.02
Price,34.91
Shares Outstanding,14.0M
Short Interest,0.0225
Today's Open,35.61
Volume Past Day,(Light)
