,SRDX
Price/Earnings (TTM),
Price/Sales (TTM),5.05969
Price/Book (MRQ),4.66201
Price/Cash Flow (TTM),
5yr Low,22.06
5yr High,82.35
5yr Avg Return,0.04943333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.06453439999999999
Dividend Growth 5yr,
Short Int Current Month,304731.0
Short Int Prev Month,362939.0
Short Int Pct of Float,0.0224776
Days to Cover,5.64766
Float,13.61035
Shares Outstanding,14.04
Institutions Holding Shares,181.0
% Held by Institutions,0.920812
FCF Growth 5yr,0.3974156801048902
