,PLNT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.9871794871794872
Growth 1yr High Est,0.802197802197802
Growth 1yr Consensus Est,0.8946886446886446
Growth 2yr Low Est,0.5742349048800662
Growth 2yr High Est,0.5962208523184132
Growth 2yr Consensus Est,0.5852278785992397
Growth 5yr Low Est,0.16374082906340975
Growth 5yr High Est,0.19119218716549588
Growth 5yr Consensus Est,0.1774665081144528
Growth 5yr Actual/Est,4.943089430894308
Growth 3yr Historic,4.6312893081761
