,PLNT
% Below High,0.2121
% Held by Institutions,1.041
52-Wk Range,['54.15 - 97.33']
Annual Dividend $,
Annual Dividend %,
Ask,76.72
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,76.65
Bid Size,200.0
Day Change $,0.335
Day Change %,0.0044
Day High,76.95
Day Low,75.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.43100000000000005
Last (size),6.0
Last (time),11:01a ET 11/28/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",90.54
Prev Close,76.35
Price,76.69
Shares Outstanding,83.4M
Short Interest,0.04019999999999999
Today's Open,75.73
Volume Past Day,(Light)
