,PLNT
Price/Earnings (TTM),90.53718
Price/Sales (TTM),8.1488
Price/Book (MRQ),
Price/Cash Flow (TTM),36.59099
5yr Low,23.77
5yr High,99.6
5yr Avg Return,0.18763333333333332
EPS Growth 5yr,0.0053327999999999995
Revenue Growth 5yr,0.091886
Dividend Growth 5yr,
Short Int Current Month,3260550.0
Short Int Prev Month,3380996.0
Short Int Pct of Float,0.0401656
Days to Cover,2.49163
Float,81.18926
Shares Outstanding,89.56142
Institutions Holding Shares,414.0
% Held by Institutions,1.041025
FCF Growth 5yr,0.36299384888302283
