,IONQ
Price/Earnings (TTM),
Price/Sales (TTM),109.4291
Price/Book (MRQ),1.6967
Price/Cash Flow (TTM),
5yr Low,4.16
5yr High,35.9
5yr Avg Return,-0.10564999999999998
Short Int Current Month,22243437.0
Short Int Prev Month,23124290.0
Short Int Pct of Float,0.1273704
Days to Cover,7.1482
Float,175.3589
Shares Outstanding,199.9588
Institutions Holding Shares,181.0
% Held by Institutions,0.341229
FCF Growth 5yr,0.37370129870129865
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
