,IONQ
% Above Low,0.18030000000000002
% Held by Institutions,0.34119999999999995
52-Wk Range,['4.16 - 25.94']
Annual Dividend $,
Annual Dividend %,
Ask,4.98
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,
Bid,4.91
Bid Size,700.0
Closing Price,4.91
Day Change $,-0.07
Day Change %,-0.0141
Day High,5.01
Day Low,4.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.9840000000000001
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,981.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.98
Shares Outstanding,200.0M
Short Interest,0.1274
Today's Open,4.95
Volume,756678.0
Volume 10-day Avg,3286066.0
Volume Past Day,(Light)
